Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Customer Reference,Quantity,Unit Price,Extended Price,Quantity Available,Mfg Std Lead Time,Description,RoHS Status,Lead Free Status,REACH Status
LT3063IMS8E-5#PBF,Linear Technology/Analog Devices,LT3063IMS8E-5#PBF-ND,,1,5.57,$5.57,132,6 Weeks,IC REG LINEAR 200MA 8MSOP,RoHS Compliant,Lead free,Unaffected
S9KEAZ128AMLH,NXP USA Inc.,S9KEAZ128AMLH-ND,,1,5.23,$5.23,3963,16 Weeks,IC MCU 32BIT 128KB FLASH 64LQFP,RoHS Compliant,Lead free,Unaffected
5000,Keystone Electronics,36-5000-ND,,2,0.53,$1.06,586033,6 Weeks,"TEST POINT PC MINI .040""D RED",RoHS Compliant,Lead free,Unaffected
5001,Keystone Electronics,36-5001-ND,,1,0.53,$0.53,803184,6 Weeks,"TEST POINT PC MINI .040""D BLACK",RoHS Compliant,Lead free,Unaffected
UWX1C101MCL1GB,Nichicon,493-2105-1-ND,,2,0.44,$0.88,278828,19 Weeks,CAP ALUM 100UF 20% 16V SMD,RoHS Compliant,Lead free,Unaffected
KSR223GNCLFG,C&K,401-1704-1-ND,,1,1.86,$1.86,13486,7 Weeks,SWITCH TACTILE SPST-NC 0.01A 32V,RoHS Compliant,Lead free,Unaffected
DRV8825PWP,Texas Instruments,296-28915-5-ND,,2,6.36,$12.72,2647,18 Weeks,IC MOTOR DRIVER PAR 28HTSSOP,RoHS Compliant,Lead free,Unaffected
CSR1206FKR200,Stackpole Electronics Inc.,CSR1206FKR200CT-ND,,4,0.64,$2.56,133252,11 Weeks,RES 0.2 OHM 1% 1/2W 1206,RoHS Compliant,Lead free,Unaffected
LTST-C191KGKT,Lite-On Inc.,160-1446-1-ND,,1,0.39,$0.39,905904,14 Weeks,LED GREEN CLEAR 0603 SMD,RoHS Compliant,Lead free,Not Available
FTSH-105-01-L-DV-K,Samtec Inc.,SAM8799-ND,,1,4.18,$4.18,48726,3 Weeks,"CONN HEADER 10 POS DUAL .05"" SMD",RoHS Compliant,Lead free,Unaffected
5-535541-3,TE Connectivity AMP Connectors,A32919-ND,,1,1.95,$1.95,3291,14 Weeks,CONN RECEPT 5POS .100 VERT GOLD,RoHS Compliant,Lead free,Not Available
CL10B475KQ8NQNC,Samsung Electro-Mechanics,1276-2087-1-ND,,2,0.2,$0.40,52879,22 Weeks,CAP CER 4.7UF 6.3V X7R 0603,RoHS Compliant,Lead free,Unaffected
